L,MON,SZN,LDC_SST_GFDL_SPEAR,LDC_SST_COLA-CESM1,LDC_SST_NCEP-CFSv2, ,LDC_SST_NASA_GEOSS2S,LDC_SST_CanSIPS-IC3,CanCM4i-IC3
1.5,1,JFM,26.73096,26.71652,26.86674,26.46154,,,
2.5,1,FMA,27.14719,26.92505,27.20096,26.6897,,,
3.5,1,MAM,27.52304,27.27699,27.74135,27.05849,,,
4.5,1,AMJ,27.58538,27.5486,28.10581,27.28336,,,
5.5,1,MJJ,27.22283,27.39318,27.94013,27.14282,,,
6.5,1,JJA,26.67732,26.73155,27.25432,26.64231,,,
7.5,1,JAS,26.24591,25.88567,26.53815,26.05208,,,
8.5,1,ASO,26.07619,25.25352,26.11061,,,,
9.5,1,SON,26.0842,25.05897,,,,,
10.5,1,OND,26.06192,25.16054,,,,,
1.5,2,FMA,27.21934,27.14383,27.21935,26.94973,,,
2.5,2,MAM,27.58944,27.49125,27.76897,27.30224,,,
3.5,2,AMJ,27.62995,27.63984,28.13208,27.49913,,,
4.5,2,MJJ,27.23773,27.36366,27.96209,27.31964,,,
5.5,2,JJA,26.67064,26.59803,27.29335,26.76082,,,
6.5,2,JAS,26.23035,25.6626,26.60843,26.09807,,,
7.5,2,ASO,26.06001,24.97358,26.24484,25.64002,,,
8.5,2,SON,26.06498,24.75541,26.228,,,,
9.5,2,OND,26.03939,24.85219,,,,,
10.5,2,NDJ,25.94028,25.08384,,,,,
1.5,3,MAM,27.70002,27.68001,27.9724,27.54413,,,
2.5,3,AMJ,27.76435,27.84352,28.35727,27.75305,,,
3.5,3,MJJ,27.35406,27.52746,28.21726,27.60635,,,
4.5,3,JJA,26.75906,26.77926,27.59864,27.08717,,,
5.5,3,JAS,26.3024,25.88155,26.96188,26.44863,,,
6.5,3,ASO,26.12882,25.20069,26.63341,26.00093,,,
7.5,3,SON,26.14095,24.96787,26.6916,25.81813,,,
8.5,3,OND,26.12058,25.04775,26.93493,,,,
9.5,3,NDJ,26.01904,25.27268,,,,,
10.5,3,DJF,25.97493,25.55125,,,,,
1.5,4,AMJ,27.77826,27.86948,28.26284,27.74192,,,
2.5,4,MJJ,27.40988,27.54758,28.06148,27.58124,,,
3.5,4,JJA,26.82953,26.77034,27.44443,27.06975,,,
4.5,4,JAS,26.37714,25.88562,26.85483,26.43657,,,
5.5,4,ASO,26.20882,25.23979,26.58169,25.98916,,,
6.5,4,SON,26.22151,25.02696,26.66779,25.8003,,,
7.5,4,OND,26.19946,25.12854,26.97972,25.7138,,,
8.5,4,NDJ,26.09437,25.35113,27.29859,,,,
9.5,4,DJF,26.04509,25.62624,,,,,
10.5,4,JFM,26.24885,26.0169,,,,,
1.5,5,MJJ,27.45836,27.32601,27.57003,27.39378,,,
2.5,5,JJA,26.93142,26.49553,26.83677,26.83915,,,
3.5,5,JAS,26.47125,25.55944,26.17419,26.22874,,,
4.5,5,ASO,26.27868,24.9501,25.86642,25.81992,,,
5.5,5,SON,26.27543,24.79004,25.92343,25.66148,,,
6.5,5,OND,26.25207,24.92644,26.24188,25.6022,,,
7.5,5,NDJ,26.14159,25.19035,26.67542,25.48817,,,
8.5,5,DJF,26.07949,25.50425,27.03079,,,,
9.5,5,JFM,26.27156,25.93355,,,,,
10.5,5,FMA,26.73432,26.49999,,,,,
1.5,6,JJA,26.97469,26.52358,26.60321,26.73586,,,
2.5,6,JAS,26.4962,25.52954,25.80952,26.07481,,,
3.5,6,ASO,26.26175,24.82777,25.3851,25.63933,,,
4.5,6,SON,26.2342,24.69251,25.4023,25.46566,,,
5.5,6,OND,26.18703,24.86941,25.73107,25.40988,,,
6.5,6,NDJ,26.06185,25.1457,26.21203,25.31667,,,
7.5,6,DJF,26.00406,25.47167,26.68663,25.27155,,,
8.5,6,JFM,26.20671,25.90668,26.99926,,,,
9.5,6,FMA,26.68898,26.48197,,,,,
10.5,6,MAM,27.14848,27.13085,,,,,
1.5,7,JAS,26.67118,26.14879,26.14926,26.17996,,,
2.5,7,ASO,26.39679,25.37719,25.56265,25.71305,,,
3.5,7,SON,26.33556,25.06672,25.47811,25.54633,,,
4.5,7,OND,26.29006,25.18973,25.81502,25.50103,,,
5.5,7,NDJ,26.15324,25.44702,26.30399,25.40739,,,
6.5,7,DJF,26.08096,25.71453,26.7786,25.35626,,,
7.5,7,JFM,26.27014,26.10287,27.13133,25.54953,,,
8.5,7,FMA,26.73601,26.6551,27.43493,,,,
9.5,7,MAM,27.18725,27.29385,,,,,
10.5,7,AMJ,27.33021,27.81384,,,,,
1.5,8,ASO,26.59793,25.89553,25.92975,25.87692,,,
2.5,8,SON,26.49556,25.43461,25.63621,25.61699,,,
3.5,8,OND,26.42144,25.33269,25.82626,25.54447,,,
4.5,8,NDJ,26.28443,25.48657,26.28011,25.45561,,,
5.5,8,DJF,26.19856,25.71113,26.74095,25.40521,,,
6.5,8,JFM,26.36081,26.05891,27.09048,25.59395,,,
7.5,8,FMA,26.80535,26.613,27.44216,26.06861,,,
8.5,8,MAM,27.24371,27.27252,27.87763,,,,
9.5,8,AMJ,27.38062,27.79621,,,,,
10.5,8,MJJ,27.06322,27.96848,,,,,
1.5,9,SON,26.69006,26.21941,26.25854,26.03231,,,
2.5,9,OND,26.5943,25.99826,26.25398,25.85037,,,
3.5,9,NDJ,26.41802,25.91827,26.55096,25.70219,,,
4.5,9,DJF,26.30225,26.00121,26.91101,25.59423,,,
5.5,9,JFM,26.4426,26.26906,27.19932,25.70846,,,
6.5,9,FMA,26.86731,26.77233,27.51107,26.1324,,,
7.5,9,MAM,27.28446,27.4111,27.96228,26.674,,,
8.5,9,AMJ,27.40414,27.91425,28.26585,,,,
9.5,9,MJJ,27.08208,28.04998,,,,,
10.5,9,JJA,26.55108,27.76269,,,,,
1.5,10,OND,26.6612,26.50777,26.70621,26.25906,,,
2.5,10,NDJ,26.48113,26.26075,26.84116,26.04013,,,
3.5,10,DJF,26.34894,26.10007,27.06334,25.8577,,,
4.5,10,JFM,26.48945,26.24189,27.27436,25.8816,,,
5.5,10,FMA,26.91324,26.68795,27.53359,26.2361,,,
6.5,10,MAM,27.32079,27.28956,27.95555,26.74233,,,
7.5,10,AMJ,27.43398,27.75962,28.26655,27.09125,,,
8.5,10,MJJ,27.10479,27.84316,28.04889,,,,
9.5,10,JJA,26.56586,27.48649,,,,,
10.5,10,JAS,26.11597,26.928,,,,,
1.5,11,NDJ,26.54086,26.55738,26.90832,26.25638,,,
2.5,11,DJF,26.42329,26.27165,26.96739,26.01208,,,
3.5,11,JFM,26.54895,26.20757,27.12228,25.9846,,,
4.5,11,FMA,26.96706,26.57038,27.42544,26.29701,,,
5.5,11,MAM,27.36787,27.16642,27.89235,26.78272,,,
6.5,11,AMJ,27.47693,27.61386,28.22137,27.12354,,,
7.5,11,MJJ,27.13994,27.64974,28.04207,27.08878,,,
8.5,11,JJA,26.59278,27.22127,27.30222,,,,
9.5,11,JAS,26.14225,26.59398,,,,,
10.5,11,ASO,25.94933,26.11593,,,,,
1.5,12,DJF,26.47612,26.52467,26.8243,26.23103,,,
2.5,12,JFM,26.6348,26.41191,26.90953,26.16779,,,
3.5,12,FMA,27.0473,26.59761,27.24036,26.44009,,,
4.5,12,MAM,27.4325,27.08232,27.75706,26.89215,,,
5.5,12,AMJ,27.50471,27.4697,28.10554,27.19695,,,
6.5,12,MJJ,27.13952,27.41127,27.93196,27.12803,,,
7.5,12,JJA,26.58239,26.86315,27.23512,26.70004,,,
8.5,12,JAS,26.13566,26.12935,26.45772,,,,
9.5,12,ASO,25.94629,25.56973,,,,,
10.5,12,SON,25.93356,25.41489,,,,,