L,MON,SZN,TAR,LDC_SST_CanSIPS_IC4,OBS_NINO3.4_L3,BIAS,BIAS_ABS
10.5,1994-10-01,JAS,1995-08-15,25.005899999999997,26.396666666666665,-1.3907666666666678,1.3907666666666678
9.5,1994-11-01,JAS,1995-08-15,25.275900000000036,26.396666666666665,-1.1207666666666292,1.1207666666666292
8.5,1994-12-01,JAS,1995-08-15,25.291800000000023,26.396666666666665,-1.1048666666666414,1.1048666666666414
7.5,1995-01-01,JAS,1995-08-15,25.135000000000048,26.396666666666665,-1.261666666666617,1.261666666666617
6.5,1995-02-01,JAS,1995-08-15,25.322900000000004,26.396666666666665,-1.0737666666666605,1.0737666666666605
5.5,1995-03-01,JAS,1995-08-15,25.592600000000004,26.396666666666665,-0.8040666666666603,0.8040666666666603
4.5,1995-04-01,JAS,1995-08-15,25.582700000000045,26.396666666666665,-0.8139666666666194,0.8139666666666194
3.5,1995-05-01,JAS,1995-08-15,25.473700000000008,26.396666666666665,-0.9229666666666567,0.9229666666666567
2.5,1995-06-01,JAS,1995-08-15,25.668000000000006,26.396666666666665,-0.7286666666666584,0.7286666666666584
1.5,1995-07-01,JAS,1995-08-15,26.104600000000005,26.396666666666665,-0.2920666666666598,0.2920666666666598
10.5,1997-09-01,JJA,1998-07-15,25.43380000000002,26.403333333333336,-0.9695333333333167,0.9695333333333167
9.5,1997-10-01,JJA,1998-07-15,25.511600000000044,26.403333333333336,-0.891733333333292,0.891733333333292
8.5,1997-11-01,JJA,1998-07-15,25.374900000000025,26.403333333333336,-1.0284333333333109,1.0284333333333109
7.5,1997-12-01,JJA,1998-07-15,25.51690000000002,26.403333333333336,-0.886433333333315,0.886433333333315
6.5,1998-01-01,JJA,1998-07-15,25.556700000000035,26.403333333333336,-0.8466333333333012,0.8466333333333012
5.5,1998-02-01,JJA,1998-07-15,25.36080000000004,26.403333333333336,-1.0425333333332958,1.0425333333332958
4.5,1998-03-01,JJA,1998-07-15,25.671400000000006,26.403333333333336,-0.7319333333333304,0.7319333333333304
3.5,1998-04-01,JJA,1998-07-15,25.515100000000018,26.403333333333336,-0.8882333333333179,0.8882333333333179
2.5,1998-05-01,JJA,1998-07-15,25.727900000000034,26.403333333333336,-0.6754333333333022,0.6754333333333022
1.5,1998-06-01,JJA,1998-07-15,25.37700000000001,26.403333333333336,-1.0263333333333264,1.0263333333333264
10.5,2005-01-01,OND,2005-11-15,25.417200000000037,26.146666666666665,-0.7294666666666281,0.7294666666666281
9.5,2005-02-01,OND,2005-11-15,25.476300000000037,26.146666666666665,-0.6703666666666273,0.6703666666666273
8.5,2005-03-01,OND,2005-11-15,25.484000000000037,26.146666666666665,-0.6626666666666274,0.6626666666666274
7.5,2005-04-01,OND,2005-11-15,25.318300000000022,26.146666666666665,-0.8283666666666427,0.8283666666666427
6.5,2005-05-01,OND,2005-11-15,25.488800000000026,26.146666666666665,-0.6578666666666386,0.6578666666666386
5.5,2005-06-01,OND,2005-11-15,25.702600000000018,26.146666666666665,-0.4440666666666466,0.4440666666666466
4.5,2005-07-01,OND,2005-11-15,25.91270000000003,26.146666666666665,-0.23396666666663535,0.23396666666663535
3.5,2005-08-01,OND,2005-11-15,25.89500000000004,26.146666666666665,-0.25166666666662607,0.25166666666662607
2.5,2005-09-01,OND,2005-11-15,25.841200000000015,26.146666666666665,-0.3054666666666499,0.3054666666666499
1.5,2005-10-01,OND,2005-11-15,25.901800000000037,26.146666666666665,-0.2448666666666277,0.2448666666666277
10.5,2006-08-01,MJJ,2007-06-15,26.400400000000047,27.180000000000003,-0.7795999999999559,0.7795999999999559
9.5,2006-09-01,MJJ,2007-06-15,26.499300000000005,27.180000000000003,-0.6806999999999981,0.6806999999999981
8.5,2006-10-01,MJJ,2007-06-15,26.501000000000033,27.180000000000003,-0.6789999999999701,0.6789999999999701
7.5,2006-11-01,MJJ,2007-06-15,26.477400000000046,27.180000000000003,-0.7025999999999577,0.7025999999999577
6.5,2006-12-01,MJJ,2007-06-15,26.59340000000003,27.180000000000003,-0.5865999999999723,0.5865999999999723
5.5,2007-01-01,MJJ,2007-06-15,26.45010000000002,27.180000000000003,-0.7298999999999829,0.7298999999999829
4.5,2007-02-01,MJJ,2007-06-15,26.313000000000045,27.180000000000003,-0.8669999999999582,0.8669999999999582
3.5,2007-03-01,MJJ,2007-06-15,26.372000000000014,27.180000000000003,-0.8079999999999892,0.8079999999999892
2.5,2007-04-01,MJJ,2007-06-15,26.66270000000003,27.180000000000003,-0.5172999999999739,0.5172999999999739
1.5,2007-05-01,MJJ,2007-06-15,26.62960000000004,27.180000000000003,-0.5503999999999643,0.5503999999999643
10.5,2008-01-01,OND,2008-11-15,25.023900000000026,26.12,-1.096099999999975,1.096099999999975
9.5,2008-02-01,OND,2008-11-15,24.921500000000037,26.12,-1.1984999999999637,1.1984999999999637
8.5,2008-03-01,OND,2008-11-15,25.118300000000033,26.12,-1.0016999999999676,1.0016999999999676
7.5,2008-04-01,OND,2008-11-15,25.277900000000045,26.12,-0.8420999999999559,0.8420999999999559
6.5,2008-05-01,OND,2008-11-15,25.501000000000033,26.12,-0.6189999999999678,0.6189999999999678
5.5,2008-06-01,OND,2008-11-15,25.604900000000043,26.12,-0.5150999999999577,0.5150999999999577
4.5,2008-07-01,OND,2008-11-15,25.7654,26.12,-0.35460000000000136,0.35460000000000136
3.5,2008-08-01,OND,2008-11-15,25.94380000000001,26.12,-0.1761999999999908,0.1761999999999908
2.5,2008-09-01,OND,2008-11-15,25.95890000000003,26.12,-0.1610999999999727,0.1610999999999727
1.5,2008-10-01,OND,2008-11-15,25.97230000000002,26.12,-0.14769999999998262,0.14769999999998262
10.5,2009-08-01,MJJ,2010-06-15,27.217700000000036,26.99,0.22770000000003776,0.22770000000003776
9.5,2009-09-01,MJJ,2010-06-15,27.03280000000001,26.99,0.042800000000010385,0.042800000000010385
8.5,2009-10-01,MJJ,2010-06-15,26.857500000000016,26.99,-0.13249999999998252,0.13249999999998252
7.5,2009-11-01,MJJ,2010-06-15,26.838300000000004,26.99,-0.15169999999999462,0.15169999999999462
6.5,2009-12-01,MJJ,2010-06-15,26.93090000000001,26.99,-0.05909999999999016,0.05909999999999016
5.5,2010-01-01,MJJ,2010-06-15,26.825400000000002,26.99,-0.16459999999999653,0.16459999999999653
4.5,2010-02-01,MJJ,2010-06-15,26.39820000000003,26.99,-0.5917999999999672,0.5917999999999672
3.5,2010-03-01,MJJ,2010-06-15,26.50010000000003,26.99,-0.4898999999999667,0.4898999999999667
2.5,2010-04-01,MJJ,2010-06-15,26.63160000000005,26.99,-0.35839999999994987,0.35839999999994987
1.5,2010-05-01,MJJ,2010-06-15,26.798500000000047,26.99,-0.1914999999999516,0.1914999999999516
10.5,2010-09-01,JJA,2011-07-15,25.59140000000002,26.81,-1.2185999999999773,1.2185999999999773
9.5,2010-10-01,JJA,2011-07-15,25.70580000000001,26.81,-1.104199999999988,1.104199999999988
8.5,2010-11-01,JJA,2011-07-15,25.289800000000014,26.81,-1.520199999999985,1.520199999999985
7.5,2010-12-01,JJA,2011-07-15,25.494200000000035,26.81,-1.3157999999999639,1.3157999999999639
6.5,2011-01-01,JJA,2011-07-15,25.653700000000015,26.81,-1.156299999999984,1.156299999999984
5.5,2011-02-01,JJA,2011-07-15,25.89580000000001,26.81,-0.9141999999999904,0.9141999999999904
4.5,2011-03-01,JJA,2011-07-15,26.13960000000003,26.81,-0.6703999999999688,0.6703999999999688
3.5,2011-04-01,JJA,2011-07-15,26.312000000000012,26.81,-0.4979999999999869,0.4979999999999869
2.5,2011-05-01,JJA,2011-07-15,26.445899999999995,26.81,-0.3641000000000041,0.3641000000000041
1.5,2011-06-01,JJA,2011-07-15,26.581000000000017,26.81,-0.22899999999998144,0.22899999999998144
10.5,2015-10-01,JAS,2016-08-15,25.598000000000013,26.413333333333338,-0.8153333333333244,0.8153333333333244
9.5,2015-11-01,JAS,2016-08-15,25.614599999999996,26.413333333333338,-0.7987333333333417,0.7987333333333417
8.5,2015-12-01,JAS,2016-08-15,25.6789,26.413333333333338,-0.7344333333333388,0.7344333333333388
7.5,2016-01-01,JAS,2016-08-15,25.591300000000047,26.413333333333338,-0.822033333333291,0.822033333333291
6.5,2016-02-01,JAS,2016-08-15,25.63190000000003,26.413333333333338,-0.7814333333333074,0.7814333333333074
5.5,2016-03-01,JAS,2016-08-15,25.64820000000003,26.413333333333338,-0.7651333333333064,0.7651333333333064
4.5,2016-04-01,JAS,2016-08-15,25.833600000000047,26.413333333333338,-0.5797333333332908,0.5797333333332908
3.5,2016-05-01,JAS,2016-08-15,25.582400000000007,26.413333333333338,-0.8309333333333306,0.8309333333333306
2.5,2016-06-01,JAS,2016-08-15,25.918900000000008,26.413333333333338,-0.4944333333333297,0.4944333333333297
1.5,2016-07-01,JAS,2016-08-15,26.122100000000046,26.413333333333338,-0.2912333333332917,0.2912333333332917
10.5,2016-12-01,SON,2017-10-15,26.091800000000035,26.06,0.03180000000003602,0.03180000000003602
9.5,2017-01-01,SON,2017-10-15,26.20920000000001,26.06,0.1492000000000111,0.1492000000000111
8.5,2017-02-01,SON,2017-10-15,26.539500000000032,26.06,0.47950000000003357,0.47950000000003357
7.5,2017-03-01,SON,2017-10-15,26.674800000000005,26.06,0.614800000000006,0.614800000000006
6.5,2017-04-01,SON,2017-10-15,26.532700000000034,26.06,0.4727000000000352,0.4727000000000352
5.5,2017-05-01,SON,2017-10-15,26.79400000000004,26.06,0.7340000000000408,0.7340000000000408
4.5,2017-06-01,SON,2017-10-15,26.28830000000005,26.06,0.22830000000005057,0.22830000000005057
3.5,2017-07-01,SON,2017-10-15,26.1918,26.06,0.13180000000000192,0.13180000000000192
2.5,2017-08-01,SON,2017-10-15,25.93580000000003,26.06,-0.12419999999996989,0.12419999999996989
1.5,2017-09-01,SON,2017-10-15,25.5086,26.06,-0.5513999999999974,0.5513999999999974
10.5,2019-10-01,JAS,2020-08-15,25.543900000000008,26.38,-0.8360999999999912,0.8360999999999912
9.5,2019-11-01,JAS,2020-08-15,25.650900000000036,26.38,-0.7290999999999634,0.7290999999999634
8.5,2019-12-01,JAS,2020-08-15,25.68640000000005,26.38,-0.6935999999999503,0.6935999999999503
7.5,2020-01-01,JAS,2020-08-15,25.725600000000043,26.38,-0.6543999999999563,0.6543999999999563
6.5,2020-02-01,JAS,2020-08-15,25.69440000000003,26.38,-0.6855999999999689,0.6855999999999689
5.5,2020-03-01,JAS,2020-08-15,26.037599999999998,26.38,-0.34240000000000137,0.34240000000000137
4.5,2020-04-01,JAS,2020-08-15,26.085500000000025,26.38,-0.29449999999997445,0.29449999999997445
3.5,2020-05-01,JAS,2020-08-15,26.13760000000002,26.38,-0.24239999999997863,0.24239999999997863
2.5,2020-06-01,JAS,2020-08-15,25.78540000000004,26.38,-0.5945999999999607,0.5945999999999607
1.5,2020-07-01,JAS,2020-08-15,25.984700000000032,26.38,-0.3952999999999669,0.3952999999999669
